"age","aids_diagnoses","aids_diagnosis_rate","borough","concurrent_diagnoses","death_rate","deaths","gender","hiv_diagnoses","hiv_diagnosis_rate","hiv_related_death_rate","linked_to_care_within_3_months","non_hiv_related_death_rate","plwdhi_prevalence","race","uhf","viral_suppression","year"
"All","2366","33.8","All","640","13.6","2040","All","3379","48.3","5.8","66","7.8","1.1","All","All","71","2011"
"All","1712","52.2","All","480","13.4","1423","Male","2595","79.1","5.7","66","7.7","1.7","All","All","72","2011"
"All","622","17.6","All","153","14.0","605","Female","733","21.1","6.0","66","8.0","0.6","All","All","68","2011"
"All","32","99999","All","7","11.1","12","Transgender","51","99999","5.7","63","5.4","99999","All","All","55","2011"
"13 - 19","22","6.4","All","4","1.4","1","Female","47","13.6","1.4","64","0.0","0.1","All","All","57","2011"
"20 - 29","96","13.3","All","20","7.2","19","Female","178","24.7","3.2","67","4.0","0.3","All","All","48","2011"
"30 - 39","133","20.3","All","31","9.4","53","Female","176","26.9","5.7","66","3.7","0.6","All","All","61","2011"
"40 - 49","210","35.5","All","50","15.9","184","Female","195","33.0","7.8","62","8.1","1.4","All","All","66","2011"
"50 - 59","133","24.0","All","32","24.1","231","Female","130","23.5","11.5","72","12.6","1.3","All","All","73","2011"
"60+","60","7.1","All","23","33.5","129","Female","57","6.7","10.6","68","22.9","0.3","All","All","81","2011"
"All","8","1.6","All","2","13.1","7","Female","11","2.2","2.6","91","10.6","0.1","Asian/Pacific Islander","All","77","2011"
"All","421","46.9","All","108","14.3","354","Female","488","54.3","5.9","63","8.3","1.6","Black","All","66","2011"
"All","191","19.0","All","42","13.1","200","Female","232","23.1","6.2","75","7.0","0.8","Latino/Hispanic","All","69","2011"
"All","1","1.7","All","0","12.2","2","Female","2","3.4","2.3","50","9.9","0.2","Other/Unknown","All","70","2011"
"All","33","2.6","All","8","13.8","54","Female","50","4.0","5.6","54","8.2","0.1","White","All","77","2011"
"13 - 19","33","9.3","All","7","1.4","1","Male","140","39.4","1.4","52","0.0","0.1","All","All","51","2011"
"20 - 29","370","54.9","All","104","6.4","47","Male","957","142.1","3.6","62","2.8","0.7","All","All","54","2011"
"30 - 39","405","65.7","All","122","7.1","90","Male","649","105.4","3.7","67","3.4","1.4","All","All","67","2011"
"40 - 49","506","91.9","All","138","12.8","354","Male","517","93.9","6.7","74","6.1","3.2","All","All","72","2011"
"50 - 59","305","62.9","All","82","21.2","505","Male","253","52.2","8.6","69","12.6","3.3","All","All","76","2011"
"60+","93","15.5","All","27","38.5","426","Male","80","13.3","13.7","70","24.8","1.2","All","All","83","2011"
"All","42","9.3","All","22","7.4","13","Male","97","21.4","3.1","66","4.4","0.3","Asian/Pacific Islander","All","81","2011"
"All","822","117.5","All","211","15.5","649","Male","1042","148.9","7.3","61","8.3","3.1","Black","All","66","2011"
"All","570","61.8","All","155","14.0","479","Male","848","92.0","6.2","69","7.8","1.9","Latino/Hispanic","All","72","2011"
"All","4","8.3","All","1","5.0","6","Male","10","20.8","2.5","40","2.4","0.6","Other/Unknown","All","74","2011"
"All","274","23.6","All","91","10.5","276","Male","599","51.7","2.9","72","7.6","1.1","White","All","82","2011"
"All","568","50.1","Bronx","144","15.0","513","All","627","55.3","6.9","73","8.1","1.7","All","All","67","2011"
"13 - 19","10","13.6","Bronx","2","0.0","0","Female","18","24.5","0.0","83","0.0","0.2","All","All","53","2011"
"20 - 29","23","19.9","Bronx","6","10.7","8","Female","46","39.9","5.4","74","5.4","0.5","All","All","52","2011"
"30 - 39","39","38.0","Bronx","3","10.7","20","Female","53","51.7","6.8","75","3.9","1.3","All","All","60","2011"
"40 - 49","73","69.8","Bronx","20","17.2","62","Female","52","49.7","7.6","65","9.6","2.6","All","All","64","2011"
