"_2010_census_tract","address","address_2","bbl","bin","borough","city_council_district","community_board","facilityname","latitude","longitude","nta","phone","service_type","zipcode"
,"100 N Portland Ave",,,,"Brooklyn",,,"HHC Woodhull Medical and Mental Health Center",,,,"718-260-7883","Care Coordination","11025"
,"1000 Tenth Avenue, 1G-133",,,,"Manhattan",,,"St. Luke's - Roosevelt Hospital",,,,"(212)-523-6050","Care Coordination","10019"
,"1276 Fulton Avenue, Doctor's Dorm",,,,"Bronx",,,"Bronx-Lebanon Hospital Center",,,,"(718)-901-8865","Care Coordination","10456"
"296","1400 Pelham Parkway South",,"2042050001","2097550","Bronx","13","11","HHC Jacobi Medical Center","40.857427","-73.847079","Pelham Parkway","718-918-3611","Care Coordination","10461"
"22","150 55th Street",,"3008280001","3014856","Brooklyn","38","7","Sunset Park Health Council, Inc.","40.646941","-74.02093","Sunset Park West","(718)-630-7208","Care Coordination","11220"
"271","1545 Atlantic Avenue",,"3017050001","3048072","Brooklyn","36","3","Interfaith Medical Center","40.677788","-73.937041","Crown Heights North","(718)-613-4001","Care Coordination","11213"
"206","2006 Madison Avenue",,"1017520057","1087856","Manhattan","9","11","The Institute for Family Health","40.807347","-73.939484","Central Harlem North-Polo Grounds","(212)-633-0800","Care Coordination","10035"
"91","275 Seventh Avenue, 12th Floor",,"1008010001","1015000","Manhattan","3","4","Mount Sinai Hospital","40.745743","-73.994435","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-604-1770","Care Coordination","10001"
"95","305 Seventh Avenue, 10th Floor",,"1008037502","1015060","Manhattan","3","5","Services for the Underserved, Inc.","40.746817","-73.993655","Midtown-Midtown South","(917)-408-1600","Care Coordination","10001"
"419","3224 Kossuth Ave",,,,"Bronx","11","7","HHC Jacobi Medical Center","40.878893","-73.882656","Norwood","718 519 3351","Care Coordination","10467"
