,2010_census_tract,street,street 2,bbl,bin,borough,city_council_district,community_board,facility_name,latitude,longitude,nta,phone_number,service_type,zip_code
0,,100 N Portland Ave,,,,Brooklyn,,,HHC Woodhull Medical and Mental Health Center,,,,718-260-7883,Care Coordination,11025
1,,"1000 Tenth Avenue, 1G-133",,,,Manhattan,,,St. Luke's - Roosevelt Hospital,,,,(212)-523-6050,Care Coordination,10019
2,,"1276 Fulton Avenue, Doctor's Dorm",,,,Bronx,,,Bronx-Lebanon Hospital Center,,,,(718)-901-8865,Care Coordination,10456
3,296.0,1400 Pelham Parkway South,,2042050001.0,2097550.0,Bronx,13.0,11.0,HHC Jacobi Medical Center,40.857427,-73.84707900000001,Pelham Parkway,718-918-3611,Care Coordination,10461
4,22.0,150 55th Street,,3008280001.0,3014856.0,Brooklyn,38.0,7.0,"Sunset Park Health Council, Inc.",40.646941,-74.02093,Sunset Park West,(718)-630-7208,Care Coordination,11220
5,271.0,1545 Atlantic Avenue,,3017050001.0,3048072.0,Brooklyn,36.0,3.0,Interfaith Medical Center,40.677788,-73.93704100000001,Crown Heights North,(718)-613-4001,Care Coordination,11213
6,206.0,2006 Madison Avenue,,1017520057.0,1087856.0,Manhattan,9.0,11.0,The Institute for Family Health,40.807347,-73.939484,Central Harlem North-Polo Grounds,(212)-633-0800,Care Coordination,10035
7,91.0,"275 Seventh Avenue, 12th Floor",,1008010001.0,1015000.0,Manhattan,3.0,4.0,Mount Sinai Hospital,40.745743,-73.994435,Hudson Yards-Chelsea-Flatiron-Union Square,(212)-604-1770,Care Coordination,10001
8,95.0,"305 Seventh Avenue, 10th Floor",,1008037502.0,1015060.0,Manhattan,3.0,5.0,"Services for the Underserved, Inc.",40.746817,-73.993655,Midtown-Midtown South,(917)-408-1600,Care Coordination,10001
9,419.0,3224 Kossuth Ave,,,,Bronx,11.0,7.0,HHC Jacobi Medical Center,40.878893,-73.88265600000001,Norwood,718 519 3351,Care Coordination,10467
10,443.0,"374 Stockholm Street, 3rd Floor",,3032600001.0,3074262.0,Brooklyn,37.0,4.0,Wyckoff Heights Medical Center,40.704636,-73.917699,Bushwick North,(718)-963-7101,Care Coordination,11237
11,31.0,400 Broadway,,1001960001.0,1002334.0,Manhattan,1.0,1.0,APICHA Community Health Center,40.718702,-74.002464,SoHo-TriBeCa-Civic Center-Little Italy,(646)-884-5377,Care Coordination,10013
12,45101.0,4234 Vireo Avenue,,2033950019.0,2019744.0,Bronx,11.0,12.0,"Unique People Services, Inc.",40.89672,-73.864524,Woodlawn-Wakefield,(718)-231-7711,Care Coordination,10470
13,37504.0,4422 Third Avenue,,2030640001.0,2094217.0,Bronx,15.0,6.0,St. Barnabas Hospital,40.853346,-73.891611,East Tremont,(718)-960-9454,Care Coordination,10457
14,808.0,451 Clarkson Avenue,,3048290001.0,3327711.0,Brooklyn,40.0,9.0,HHC Kings County Hospital Center,40.655762,-73.94458,Prospect Lefferts Gardens-Wingate,718 245-2816,Care Coordination,11203
15,62.0,462 First Avenue,,1009620100.0,1086515.0,Manhattan,4.0,6.0,HHC Bellevue Hospital Center,40.739173,-73.976862,Murray Hill-Kips Bay,212-562-3906,Care Coordination,10016
16,212.0,506 Lenox Avenue,,1017330001.0,1053899.0,Manhattan,9.0,10.0,HHC Harlem Hospital Center,40.814358,-73.940659,Central Harlem North-Polo Grounds,212-939-2910,Care Coordination,10037
17,,"525 East 68th Street, Box 259",,,,Manhattan,,,New York Presbyterian Hospital,,,,(212)-746-1285,Care Coordination,10065
18,3.0,"56 Bay Street, 4th Floor",,5000050103.0,5000035.0,Staten Island,49.0,1.0,Community Health Action Of Staten Island,40.640624,-74.075704,West New Brighton-New Brighton-St. George,(718)-808-1402,Care Coordination,10301
