"additional_information","address","agency_id","ages_served","borough","brief_description","building_floor_suite","city","free","genders_served","hours_friday","hours_monday","hours_saturday","hours_sunday","hours_thursday","hours_tuesday","hours_wednesday","intake","low_cost","medicaid","medicare","other_insurances","phone_number","required_documents","site_id","site_languages","site_name","sliding_fee","state","website","zip_code"
,"1 Centre Street","Office of the Manhattan Borough President",,"MANHATTAN",,"19","New York","FALSE",,,,,,,,,,"FALSE",,,,"212-669-8300",,"810",,"Office of the Manhattan Borough President",,"NY","manhattanbp.nyc.gov","10007"
,"115 West 116th Street","Clinic - Lenox Avenue",,"MANHATTAN",,,"NEW YORK","TRUE","Female and LGBTQI","9:00 AM - 7:00 PM","11:00 AM - 7:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Appointment required","TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(212) 961-5742",,"53",,"Clinic - Lenox Avenue","Yes","NY",,"10026"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs. Call for more information.","227 Madison Street","HHC Gouverneur Health",,"MANHATTAN",,,"NEW YORK","TRUE",,"8: 30 AM - 5:00 PM","8:00 AM - 8:00 PM","8:30 AM - 5:00 PM","CLOSED","8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","8:30 AM - 5:00 PM","Appointment required","TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(212) 238-7897",,"90",,"HHC Gouverneur Health","Yes","NY","http://www.nyc.gov/html/hhc/gouverneur/html/home/home.shtml","10002"
,"1309 Fulton Avenue","NYC DOHMH TB Control",,"BRONX",,"1st Floor","BRONX","TRUE",,"8:30 AM - 5:00 PM","CLOSED","CLOSED","CLOSED","8:30 AM - 5:00 PM","CLOSED","8:30 AM - 5:00 PM","Appointment required","FALSE",,,,"(718) 579-4157",,"167",,"Morrisania Chest Center Clinic",,"NY",,"10456"
,"1276 Fulton Avenue","Bronx - Lebanon Hospital Center",,"BRONX",,,"Bronx","FALSE",,,,,,,,,,"FALSE",,,,"(718) 901-8000",,"822",,"BronxCare Fulton Family Medicine",,"NY",,"10456"
,"56 Bay Street","Community Health Action of Staten Island (CHASI)",,"STATEN ISLAND",,"4th Floor","STATEN ISLAND","FALSE",,,,,,,,,,"FALSE",,,,"718-808-1300",,"524",,"Community Health Action of Staten Island- Main Office",,"NY","http://chasiny.org","10301"
,"541-549 East 138th Street","United Family Church-Iglesia De La Familia Unida","18 and over.","BRONX",,,"BRONX","FALSE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Walk-ins welcome","FALSE",,,,"(718) 292-3315","Personal ID is not required but may allow quicker access to services.","119",,"La Familia Unida","Yes","NY",,"10454"
,"160 Water St","Metroplus Healthplan",,"MANHATTAN",,"#3","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 908-8600",,"605",,"Metroplus Healthplan",,"NY",,"10038"
,,"Transdiaspora Network",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"442",,"Transdiaspora Network",,,,
,"21 BLOOMINGDALE ROAD","New York Presbyterian Hospital",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(914) 682-9100",,"542",,"NYP - Westchester Division",,"NY","http://nyp.org/facilities/westchester.html","10605"
,"1958 Fulton Street","Greater Brooklyn Health Coalition",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,,,"746",,"Greater Brooklyn Health Coalition",,"NY","https://brooklynhealth.org/","11233"
,"40 Rector Street,","Urban Justice Center (SWOP)",,"MANHATTAN",,"9th Floor","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"495",,"Urban Justice Center",,"NY",,
,,"New York State Health Department",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"641",,"New York State Health Department",,,"https://www.health.ny.gov/",
,,"Young Women of Color HIV/AIDS Coalition",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"452",,"Young Women of Color HIV/AIDS Coalition",,,,
