,additional_information,street,agency_id,ages_served,borough,brief_description,building_floor_suite,city,free,genders_served,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,intake,low_cost,medicaid,medicare,other_insurances,phone_number,required_documents,site_id,site_languages,site_name,sliding_fee,state,website,zip_code
0,,1 Centre Street,Office of the Manhattan Borough President,,Manhattan,,19,New York,False,,,,,,,,,,False,,,,212-669-8300,,810,,Office of the Manhattan Borough President,,NY,manhattanbp.nyc.gov,10007
1,,115 West 116th Street,Clinic - Lenox Avenue,,Manhattan,,,NEW YORK,True,Female and LGBTQI,9:00 AM - 7:00 PM,11:00 AM - 7:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(212) 961-5742,,53,,Clinic - Lenox Avenue,Yes,NY,,10026
2,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs. Call for more information.,227 Madison Street,HHC Gouverneur Health,,Manhattan,,,NEW YORK,True,,8: 30 AM - 5:00 PM,8:00 AM - 8:00 PM,8:30 AM - 5:00 PM,CLOSED,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:30 AM - 5:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(212) 238-7897,,90,,HHC Gouverneur Health,Yes,NY,http://www.nyc.gov/html/hhc/gouverneur/html/home/home.shtml,10002
3,,1309 Fulton Avenue,NYC DOHMH TB Control,,Bronx,,1st Floor,BRONX,True,,8:30 AM - 5:00 PM,CLOSED,CLOSED,CLOSED,8:30 AM - 5:00 PM,CLOSED,8:30 AM - 5:00 PM,Appointment required,False,,,,(718) 579-4157,,167,,Morrisania Chest Center Clinic,,NY,,10456
4,,1276 Fulton Avenue,Bronx - Lebanon Hospital Center,,Bronx,,,Bronx,False,,,,,,,,,,False,,,,(718) 901-8000,,822,,BronxCare Fulton Family Medicine,,NY,,10456
5,,56 Bay Street,Community Health Action of Staten Island (CHASI),,Staten Island,,4th Floor,STATEN ISLAND,False,,,,,,,,,,False,,,,718-808-1300,,524,,Community Health Action of Staten Island- Main Office,,NY,http://chasiny.org,10301
6,,541-549 East 138th Street,United Family Church-Iglesia De La Familia Unida,18 and over.,Bronx,,,BRONX,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 292-3315,Personal ID is not required but may allow quicker access to services.,119,,La Familia Unida,Yes,NY,,10454
7,,160 Water St,Metroplus Healthplan,,Manhattan,,#3,NEW YORK,False,,,,,,,,,,False,,,,(212) 908-8600,,605,,Metroplus Healthplan,,NY,,10038
9,,21 BLOOMINGDALE ROAD,New York Presbyterian Hospital,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(914) 682-9100,,542,,NYP - Westchester Division,,NY,http://nyp.org/facilities/westchester.html,10605
10,,1958 Fulton Street,Greater Brooklyn Health Coalition,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,746,,Greater Brooklyn Health Coalition,,NY,https://brooklynhealth.org/,11233
